Date;Valor;Ativo
15/07/2019;3,83;KLBN3SA
16/07/2019;3,78;KLBN3SA
17/07/2019;3,81;KLBN3SA
18/07/2019;3,8;KLBN3SA
19/07/2019;3,72;KLBN3SA
22/07/2019;3,66;KLBN3SA
23/07/2019;3,58;KLBN3SA
24/07/2019;3,57;KLBN3SA
25/07/2019;3,53;KLBN3SA
26/07/2019;3,6;KLBN3SA
29/07/2019;3,62;KLBN3SA
30/07/2019;3,71;KLBN3SA
31/07/2019;3,66;KLBN3SA
01/08/2019;3,56;KLBN3SA
02/08/2019;3,53;KLBN3SA
05/08/2019;3,5;KLBN3SA
06/08/2019;3,41;KLBN3SA
07/08/2019;3,35;KLBN3SA
08/08/2019;3,41;KLBN3SA
09/08/2019;3,39;KLBN3SA
12/08/2019;3,36;KLBN3SA
13/08/2019;3,54;KLBN3SA
14/08/2019;3,33;KLBN3SA
15/08/2019;3,21;KLBN3SA
16/08/2019;3,18;KLBN3SA
19/08/2019;3,13;KLBN3SA
20/08/2019;3,13;KLBN3SA
21/08/2019;3,16;KLBN3SA
22/08/2019;3,12;KLBN3SA
23/08/2019;2,99;KLBN3SA
26/08/2019;2,91;KLBN3SA
27/08/2019;2,84;KLBN3SA
28/08/2019;2,9;KLBN3SA
29/08/2019;3,05;KLBN3SA
30/08/2019;3,09;KLBN3SA
02/09/2019;3,12;KLBN3SA
03/09/2019;3,08;KLBN3SA
04/09/2019;3,1;KLBN3SA
05/09/2019;3,16;KLBN3SA
06/09/2019;3,21;KLBN3SA
09/09/2019;3,23;KLBN3SA
10/09/2019;3,17;KLBN3SA
11/09/2019;3,17;KLBN3SA
12/09/2019;3,16;KLBN3SA
13/09/2019;3,24;KLBN3SA
16/09/2019;3,23;KLBN3SA
17/09/2019;3,24;KLBN3SA
18/09/2019;3,32;KLBN3SA
19/09/2019;3,35;KLBN3SA
20/09/2019;3,29;KLBN3SA
23/09/2019;3,3;KLBN3SA
24/09/2019;3,29;KLBN3SA
